iOS,Mac,iOS,Mac,,,,,,,
const CFStringRef kCTCharacterShapeAttributeName;,NSString *NSCharacterShapeAttributeName;,CFNumber,integer value,,,,,,,
const CFStringRef kCTFontAttributeName;,NSString *NSFontAttributeName;,CTFont,NSFont,,,,,,,
const CFStringRef kCTKernAttributeName;,NSString *NSKernAttributeName;,CFNumber,NSNumber,,,,,,,
const CFStringRef kCTLigatureAttributeName;,NSString *NSLigatureAttributeName;,CFNumber,NSNumber,,,,,,,
const CFStringRef kCTForegroundColorAttributeName;,NSString *NSForegroundColorAttributeName;,CGColor,NSColor,,,,,,,
const CFStringRef kCTForegroundColorFromContextAttributeName;,,CFBoolean,,,,,,,,
const CFStringRef kCTParagraphStyleAttributeName;,NSString *NSParagraphStyleAttributeName;,CTParagraphStyle,NSParagraphStyle,,,,,,,
const CFStringRef kCTStrokeWidthAttributeName;,NSString *NSStrokeWidthAttributeName;,CFNumber,NSNumber,,,,,,,
const CFStringRef kCTStrokeColorAttributeName;,NSString *NSStrokeColorAttributeName;,CGColor,NSColor,,,,,,,
const CFStringRef kCTSuperscriptAttributeName;,NSString *NSSuperscriptAttributeName;,CFNumber,NSNumber,,,,,,,
const CFStringRef kCTUnderlineColorAttributeName;,NSString *NSUnderlineColorAttributeName;,CGColor,NSColor,,,,,,,
const CFStringRef kCTUnderlineStyleAttributeName;,NSString *NSUnderlineStyleAttributeName;,bitmask,bitmask,,,,,,,
const CFStringRef kCTVerticalFormsAttributeName;,NSString *NSVerticalGlyphFormAttributeName;,CGBoolean,"NSNumber (1 = true, 0 = false)",,,,,,,
const CFStringRef kCTGlyphInfoAttributeName;,NSString *NSGlyphInfoAttributeName;,CTGlyphInfo,NSGlyphInfo,,,,,,,
const CFStringRef kCTRunDelegateAttributeName,,CTRunDelegate,,,,,,,,
,NSString *NSBackgroundColorAttributeName;,,NSColor,,,,,,,
,NSString *NSAttachmentAttributeName;,,NSTextAttachment,,,,,,,
,NSString *NSBaselineOffsetAttributeName;,kCTFontBaselineAdjustAttribute in CTFontDescriptor,NSNumber,,,,,,,
,NSString *NSLinkAttributeName;,kCTFontURLAttribute in CTFontDescriptor,NSURL or NSString,,,,,,,
,NSString *NSStrikethroughStyleAttributeName;,"doesn’t exist, must implement ourselves by drawing",NSNumber,,,,,,,
,NSString *NSStrikethroughColorAttributeName;,"doesn’t exist, must implement ourselves by drawing",NScolor,,,,,,,
,NSString *NSShadowAttributeName;,"doesn’t exist, must implement ourselves by drawing",NSShadow,,,,,,,
,NSString *NSObliquenessAttributeName;,kCTFontSlantTrait in CTFontDescriptor,NSNumber (skew to apply),,,,,,,
,NSString *NSExpansionAttributeName;,kCTFontWidthTrait in CTFontDescriptor,NSNumber (log of expansion factor to apply to glphys),,,,,,,
,NSString *NSCursorAttributeName;,x,NSCursor,,,,,,,
,NSString *NSToolTipAttributeName;,x,NSString,,,,,,,
,NSString *NSMarkedClauseSegmentAttributeName;,x,NSnumber (index marking clause segments),,,,,,,
,NSString *NSWritingDirectionAttributeName;,x,NSArray of numbers (for overriding bidi algorithm),,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,